filename,found,endtime,total_computation_time
solver_20_trains_5_units18,True,4800,00:16:11.2236861
solver_20_trains_5_units18,True,6000,00:01:06.4478739
solver_20_trains_5_units13,True,6000,00:02:27.1428218
solver_20_trains_5_units25,True,6000,00:01:07.6702896
solver_20_trains_5_units26,True,6000,00:01:26.9523752
solver_20_trains_5_units2,True,6000,00:00:37.2664757
solver_20_trains_5_units30,True,6000,00:01:01.4703254
solver_20_trains_5_units16,True,6000,00:01:36.7529823
solver_20_trains_5_units17,True,6000,00:00:47.3085567
solver_20_trains_5_units11,True,6000,00:01:12.6288236
solver_20_trains_5_units12,True,4800,00:08:16.4405191
solver_20_trains_5_units12,True,6000,00:01:00.0692246
solver_20_trains_5_units14,True,6000,00:06:12.3768273
solver_20_trains_5_units5,True,4800,00:28:32.2743529
solver_20_trains_5_units5,True,6000,00:05:05.5698864
solver_20_trains_5_units6,True,4800,00:27:24.0083872
solver_20_trains_5_units20,True,6000,00:02:01.9166739
solver_20_trains_5_units21,True,4800,00:29:52.4719792
solver_20_trains_5_units21,True,6000,00:00:44.3224705
solver_20_trains_5_units4,True,6000,00:01:48.7476667
solver_20_trains_5_units3,True,4800,00:25:36.5808162
solver_20_trains_5_units3,True,6000,00:00:58.4510313
solver_20_trains_5_units22,True,6000,00:01:21.4349992
solver_20_trains_5_units28,True,6000,00:01:13.1015556
solver_20_trains_5_units23,True,4800,00:18:16.3248684
solver_20_trains_5_units23,True,6000,00:00:59.8959264
solver_20_trains_5_units15,True,6000,00:01:31.9445898
solver_20_trains_5_units9,True,4800,00:15:13.6371773
solver_20_trains_5_units9,True,6000,00:01:21.4960058
solver_20_trains_5_units29,True,6000,00:01:53.6974504
solver_20_trains_5_units1,True,6000,00:00:42.3870769
solver_20_trains_5_units8,True,4800,00:10:53.3147771
solver_20_trains_5_units8,True,6000,00:01:31.0006197
solver_20_trains_5_units24,True,6000,00:01:23.3682868
solver_20_trains_5_units18,True,5760,00:01:30.2551392
solver_20_trains_5_units19,True,5040,00:03:23.2432245
solver_20_trains_5_units19,True,5280,00:01:18.1634778
solver_20_trains_5_units19,True,5520,00:00:52.5643117
solver_20_trains_5_units19,True,5760,00:01:03.4506559
solver_20_trains_5_units26,True,5520,00:01:23.7736619
solver_20_trains_5_units26,True,5760,00:01:05.3496187
solver_20_trains_5_units27,True,5040,00:03:43.6805576
solver_20_trains_5_units27,True,5280,00:00:56.5370854
solver_20_trains_5_units27,True,5520,00:01:02.5706320
solver_20_trains_5_units10,True,5040,00:03:02.0332214
solver_20_trains_5_units10,True,5280,00:01:34.7775335
solver_20_trains_5_units10,True,5520,00:01:23.4408887
solver_20_trains_5_units10,True,5760,00:01:44.8323275
solver_20_trains_5_units11,True,5040,00:02:28.7580387
solver_20_trains_5_units6,True,5280,00:01:46.5574282
solver_20_trains_5_units6,True,5520,00:01:44.4928168
solver_20_trains_5_units6,True,5760,00:01:35.0313111
solver_20_trains_5_units7,True,5280,00:01:16.2962874
solver_20_trains_5_units17,True,5520,00:00:49.1468912
solver_20_trains_5_units17,True,5760,00:01:16.8485044
solver_20_trains_5_units18,True,5040,00:10:17.7109380
solver_20_trains_5_units18,True,5280,00:03:31.6443906
solver_20_trains_5_units18,True,5520,00:01:24.3990409
solver_20_trains_5_units12,True,5520,00:01:23.5668497
solver_20_trains_5_units12,True,5760,00:01:48.6523771
solver_20_trains_5_units13,True,5040,00:07:42.8927902
solver_20_trains_5_units13,True,5280,00:01:25.2197802
solver_20_trains_5_units13,True,5520,00:06:14.9145113
solver_20_trains_5_units25,True,5280,00:01:37.1099440
solver_20_trains_5_units25,True,5520,00:01:25.1808785
solver_20_trains_5_units25,True,5760,00:01:00.2507163
solver_20_trains_5_units26,True,5040,00:06:18.4757864
solver_20_trains_5_units2,True,5280,00:02:07.5884125
solver_20_trains_5_units2,True,5520,00:01:37.8319316
solver_20_trains_5_units2,True,5760,00:01:11.2195256
solver_20_trains_5_units30,True,5040,00:02:12.4472142
solver_20_trains_5_units30,True,5280,00:01:25.5224456
solver_20_trains_5_units16,True,5280,00:01:36.9237964
solver_20_trains_5_units16,True,5520,00:01:44.0478755
solver_20_trains_5_units16,True,5760,00:00:53.2055615
solver_20_trains_5_units17,True,5040,00:20:33.8225190
solver_20_trains_5_units11,True,5280,00:03:41.0908930
solver_20_trains_5_units11,True,5520,00:00:49.7767193
solver_20_trains_5_units11,True,5760,00:00:27.2709400
solver_20_trains_5_units12,True,5040,00:20:03.7871108
