filename,found,total_computation_time
scenario_solver_20_trains_7_units24,True,00:00:08.5156887
scenario_solver_20_trains_7_units25,True,00:00:08.5807435
scenario_solver_20_trains_7_units26,True,00:00:07.3854577
scenario_solver_20_trains_7_units27,True,00:00:07.7088750
scenario_solver_26_trains_9_units23,True,00:00:13.3659997
scenario_solver_26_trains_9_units24,True,00:00:11.8378429
scenario_solver_26_trains_9_units25,True,00:00:13.1674663
scenario_solver_26_trains_9_units26,True,00:00:13.0788936
scenario_solver_26_trains_9_units27,True,00:00:12.2236015
scenario_solver_27_trains_27_units14,True,00:00:08.7495309
scenario_solver_27_trains_27_units15,True,00:00:07.3341386
scenario_solver_27_trains_27_units16,True,00:00:08.7295683
scenario_solver_27_trains_27_units17,True,00:00:08.9654119
scenario_solver_27_trains_27_units18,True,00:00:14.7207998
scenario_solver_27_trains_5_units1,True,00:00:11.6854447
scenario_solver_27_trains_5_units10,True,00:00:10.6204366
scenario_solver_27_trains_5_units11,True,00:00:14.9795785
scenario_solver_27_trains_5_units12,True,00:00:12.2280137
scenario_solver_27_trains_5_units13,True,00:00:13.0748931
scenario_solver_28_trains_5_units23,True,00:00:13.2731716
scenario_solver_28_trains_5_units24,True,00:00:12.5826299
scenario_solver_28_trains_5_units25,True,00:00:12.1127607
scenario_solver_28_trains_5_units26,True,00:00:11.8315081
scenario_solver_28_trains_5_units27,True,00:00:13.5769716
scenario_solver_27_trains_1_units19,True,00:00:13.8195161
scenario_solver_27_trains_1_units2,True,00:00:12.7172565
scenario_solver_27_trains_1_units20,True,00:00:13.6213701
scenario_solver_27_trains_1_units21,True,00:00:13.6099016
scenario_solver_27_trains_1_units22,True,00:00:13.7095879
scenario_solver_25_trains_25_units28,True,00:00:07.9663314
scenario_solver_25_trains_25_units29,True,00:00:12.1342735
scenario_solver_25_trains_25_units3,True,00:00:07.0323224
scenario_solver_25_trains_25_units30,True,00:00:08.5255548
scenario_solver_25_trains_25_units4,True,00:00:07.7823303
scenario_solver_15_trains_1_units23,True,00:00:05.1499469
scenario_solver_15_trains_1_units24,True,00:00:05.1493371
scenario_solver_15_trains_1_units25,True,00:00:05.1565697
scenario_solver_15_trains_1_units26,True,00:00:05.1174436
scenario_solver_15_trains_1_units27,True,00:00:05.1990809
scenario_solver_5_trains_2_units14,True,00:00:02.2954792
scenario_solver_5_trains_2_units15,True,00:00:02.2253814
scenario_solver_5_trains_2_units16,True,00:00:02.3286897
scenario_solver_5_trains_2_units17,True,00:00:02.4452721
scenario_solver_5_trains_2_units18,True,00:00:02.2860005
scenario_solver_32_trains_1_units28,True,00:00:34.1748776
scenario_solver_32_trains_1_units29,True,00:00:54.8199101
scenario_solver_32_trains_1_units3,True,00:00:50.1060359
scenario_solver_32_trains_1_units30,True,00:00:27.6862011
scenario_solver_32_trains_1_units4,True,00:00:51.0786876
scenario_solver_30_trains_30_units19,True,00:00:10.4977267
scenario_solver_30_trains_30_units2,True,00:00:09.7793669
scenario_solver_30_trains_30_units20,True,00:00:24.9841921
scenario_solver_30_trains_30_units21,True,00:00:13.2258069
scenario_solver_30_trains_30_units22,True,00:00:10.6631057
scenario_solver_29_trains_29_units19,True,00:00:07.6621587
scenario_solver_29_trains_29_units2,True,00:00:11.3520445
scenario_solver_29_trains_29_units20,True,00:00:07.8783880
scenario_solver_29_trains_29_units21,True,00:00:10.4089725
scenario_solver_29_trains_29_units22,True,00:00:13.1547656
scenario_solver_20_trains_20_units23,True,00:00:03.9242591
scenario_solver_20_trains_20_units24,True,00:00:04.6837884
scenario_solver_20_trains_20_units25,True,00:00:05.1803744
scenario_solver_20_trains_20_units26,True,00:00:04.6621131
scenario_solver_20_trains_20_units27,True,00:00:04.0773737
scenario_solver_5_trains_1_units19,True,00:00:01.6706340
scenario_solver_5_trains_1_units2,True,00:00:02.1709743
scenario_solver_5_trains_1_units20,True,00:00:02.1080586
scenario_solver_5_trains_1_units21,True,00:00:02.1208453
scenario_solver_5_trains_1_units22,True,00:00:01.6793712
scenario_solver_33_trains_33_units19,True,00:00:28.3837885
scenario_solver_33_trains_33_units2,True,00:00:41.6453692
scenario_solver_33_trains_33_units20,True,00:00:13.3509042
scenario_solver_33_trains_33_units21,True,00:00:41.8868222
scenario_solver_33_trains_33_units22,True,00:00:30.5055873
scenario_solver_33_trains_11_units19,True,00:00:56.8009694
scenario_solver_33_trains_11_units2,True,00:00:30.9139458
scenario_solver_33_trains_11_units20,True,00:00:59.7506095
scenario_solver_33_trains_11_units21,True,00:00:16.5143944
scenario_solver_33_trains_11_units22,True,00:00:49.7631490
scenario_solver_25_trains_5_units28,True,00:00:11.7826675
scenario_solver_25_trains_5_units29,True,00:00:14.2700603
