rho,num_trains,k,time,time_first_solution,solution_found,num_movements
0.5,30,3,637.2599654197693,637.2599654197693,True,171
0.5,30,4,727.1585047245026,727.1585047245026,True,167
0.5,30,4,853.9068911075592,853.9068911075592,True,164
0.5,30,3,626.4932718276978,626.4932718276978,True,147
0.5,30,8,1457.627509355545,1457.627509355545,True,173
0.5,30,9,1323.2180128097534,1323.2180128097534,True,170
0.5,30,6,1293.9550154209137,1293.9550154209137,True,177
0.5,30,4,880.1234996318817,880.1234996318817,True,158
0.5,30,12,1825.139351606369,1825.139351606369,False,161
0.5,30,5,1051.9539799690247,1051.9539799690247,True,176
0.5,30,4,746.2058546543121,746.2058546543121,True,164
0.5,30,4,842.0728695392609,842.0728695392609,True,163
0.5,30,5,981.0796136856079,981.0796136856079,True,155
0.5,30,4,740.0813889503479,740.0813889503479,True,181
0.5,30,6,979.9108519554138,979.9108519554138,True,165
0.5,30,10,1631.953076839447,1631.953076839447,True,154
0.5,30,5,1026.225734949112,1026.225734949112,True,159
0.5,30,5,900.2891767024994,900.2891767024994,True,165
0.5,30,6,1242.2224667072296,1242.2224667072296,True,168
0.5,30,5,963.9739911556244,963.9739911556244,True,157
0.5,30,4,784.7659208774567,784.7659208774567,True,172
0.5,30,5,840.898533821106,840.898533821106,True,166
0.5,30,5,845.1149356365204,845.1149356365204,True,159
0.5,30,12,1920.5872592926025,1920.5872592926025,False,172
0.5,30,5,934.7044842243195,934.7044842243195,True,166
0.5,30,4,854.5411727428436,854.5411727428436,True,175
1,30,5,949.2013349533081,949.2013349533081,True,188
1,30,2,592.8715794086456,592.8715794086456,True,180
1,30,7,1142.4126679897308,1142.4126679897308,True,181
1,30,2,501.1123547554016,501.1123547554016,True,157
1,30,2,498.6009793281555,498.6009793281555,True,158
1,30,10,1695.5887281894684,1695.5887281894684,True,154
1,30,2,510.3705937862396,510.3705937862396,True,135
1,30,3,686.9829504489899,686.9829504489899,True,183
1,30,5,1048.9910821914673,1048.9910821914673,True,156
1,30,3,708.6189770698547,708.6189770698547,True,158
1,30,4,895.1040177345276,895.1040177345276,True,173
1,30,5,1092.8361446857452,1092.8361446857452,True,165
1,30,7,1193.5442056655884,1193.5442056655884,True,176
1,30,6,1029.7997207641602,1029.7997207641602,True,175
1,30,8,1338.3737211227417,1338.3737211227417,True,162
1,30,4,862.7283504009247,862.7283504009247,True,156
1,30,9,1315.2869617938995,1315.2869617938995,True,156
1,30,4,810.6357471942902,810.6357471942902,True,156
1,30,10,1392.5011496543884,1392.5011496543884,True,172
1,30,12,1852.868548154831,1852.868548154831,False,155
1,30,13,1806.663519859314,1806.663519859314,False,172
1,30,5,1042.993094444275,1042.993094444275,True,164
1,30,2,591.8267562389374,591.8267562389374,True,172
1,30,4,805.3177008628845,805.3177008628845,True,188
1,30,3,771.0976567268372,771.0976567268372,True,170
1,30,6,955.20521235466,955.20521235466,True,159
1,30,7,1130.4254217147827,1130.4254217147827,True,154
1,30,10,1830.2008607387543,1830.2008607387543,False,163
1,30,3,642.7233333587646,642.7233333587646,True,165
1,30,2,615.224207162857,615.224207162857,True,178
1.5,30,5,920.3233716487885,920.3233716487885,True,164
1.5,30,4,889.2845947742462,889.2845947742462,True,179
1.5,30,13,1868.3423118591309,1868.3423118591309,False,173
1.5,30,2,519.3089079856873,519.3089079856873,True,163
1.5,30,3,647.8548395633698,647.8548395633698,True,171
1.5,30,4,855.1370656490326,855.1370656490326,True,157
1.5,30,4,861.1428990364075,861.1428990364075,True,179
1.5,30,3,672.8919627666473,672.8919627666473,True,173
1.5,30,8,1452.1981031894684,1452.1981031894684,True,164
1.5,30,2,577.6674020290375,577.6674020290375,True,156
1.5,30,5,1020.3184509277344,1020.3184509277344,True,169
1.5,30,2,598.0549640655518,598.0549640655518,True,179
1.5,30,12,1805.1061372756958,1805.1061372756958,False,160
1.5,30,2,581.4434657096863,581.4434657096863,True,163
1.5,30,5,884.3901097774506,884.3901097774506,True,151
1.5,30,5,950.5992703437805,950.5992703437805,True,149
1.5,30,2,547.3585634231567,547.3585634231567,True,162
1.5,30,2,496.257283449173,496.257283449173,True,183
1.5,30,3,773.3774816989899,773.3774816989899,True,166
1.5,30,12,1806.6628303527832,1806.6628303527832,False,152
1.5,30,4,797.1022646427155,797.1022646427155,True,172
1.5,30,2,650.193342924118,650.193342924118,True,162
1.5,30,2,585.710268497467,585.710268497467,True,164
1.5,30,14,1869.1245486736298,1869.1245486736298,False,160
1.5,30,12,1846.3489089012146,1846.3489089012146,False,166
1.5,30,9,1249.7159473896027,1249.7159473896027,True,164
1.5,30,1,388.67102432250977,388.67102432250977,True,152
1.5,30,2,589.3866238594055,589.3866238594055,True,179
1.5,30,3,752.2213954925537,752.2213954925537,True,174
1.5,30,4,757.1056652069092,757.1056652069092,True,173
2,30,6,1038.0946969985962,1038.0946969985962,True,165
2,30,12,1900.561241388321,1900.561241388321,False,162
2,30,4,871.3313145637512,871.3313145637512,True,178
2,30,2,507.28459787368774,507.28459787368774,True,157
2,30,2,519.8902812004089,519.8902812004089,True,153
2,30,4,740.8967297077179,740.8967297077179,True,160
2,30,2,576.5542044639587,576.5542044639587,True,150
2,30,5,879.756918668747,879.756918668747,True,162
2,30,11,1881.2391743659973,1881.2391743659973,False,175
2,30,6,984.2066040039062,984.2066040039062,True,165
2,30,11,1813.0006754398346,1813.0006754398346,False,169
2,30,1,453.9836759567261,453.9836759567261,True,162
2,30,11,1818.6266102790833,1818.6266102790833,False,181
2,30,12,1711.0536437034607,1711.0536437034607,True,166
2,30,2,515.6128656864166,515.6128656864166,True,164
2,30,5,1057.5459020137787,1057.5459020137787,True,160
2,30,5,914.9178328514099,914.9178328514099,True,164
2,30,5,851.5033411979675,851.5033411979675,True,172
2,30,6,1025.8956010341644,1025.8956010341644,True,147
2,30,13,1888.3423945903778,1888.3423945903778,False,165
2,30,5,843.8042585849762,843.8042585849762,True,165
2,30,11,1861.0679388046265,1861.0679388046265,False,164
2,30,4,750.0715625286102,750.0715625286102,True,170
2,30,7,1447.708218574524,1447.708218574524,True,153
2,30,12,1832.2235598564148,1832.2235598564148,False,150
