rho,num_trains,k,time,time_first_solution,solution_found,num_movements
1,30,13,1804.4213297367096,1804.4213297367096,False,157
1,30,10,1449.4820234775543,1449.4820234775543,True,190
1,30,2,554.7746078968048,554.7746078968048,True,172
1,30,11,1529.8241233825684,1529.8241233825684,True,164
1,30,6,1200.2834222316742,1200.2834222316742,True,192
1,30,3,610.857922077179,610.857922077179,True,191
1,30,3,782.7591750621796,782.7591750621796,True,151
1,30,12,1831.8767731189728,1831.8767731189728,False,162
1,30,10,1539.741688489914,1539.741688489914,True,172
1,30,2,518.7742619514465,518.7742619514465,True,161
1,30,5,922.0380754470825,922.0380754470825,True,175
1,30,4,905.6216876506805,905.6216876506805,True,171
1,30,5,1048.7968471050262,1048.7968471050262,True,160
1,30,3,805.9505162239075,805.9505162239075,True,170
1,30,2,518.6683971881866,518.6683971881866,True,162
1,30,10,1842.9090938568115,1842.9090938568115,False,181
1,30,4,876.4502646923065,876.4502646923065,True,173
1,30,3,658.5210704803467,658.5210704803467,True,170
1,30,11,1910.0682258605957,1910.0682258605957,False,161
1,30,6,970.7345056533813,970.7345056533813,True,178
1,30,14,1832.2186543941498,1832.2186543941498,False,170
1,30,3,623.9033439159393,623.9033439159393,True,158
1,30,5,891.2959749698639,891.2959749698639,True,156
1,30,13,1852.6685063838959,1852.6685063838959,False,153
1,30,4,896.8560330867767,896.8560330867767,True,185
1,30,3,664.6335201263428,664.6335201263428,True,158
1,30,9,1364.6146109104156,1364.6146109104156,True,159
1,30,8,1285.7701711654663,1285.7701711654663,True,186
1,30,4,792.7245879173279,792.7245879173279,True,193
1,30,9,1468.132140636444,1468.132140636444,True,162
1,30,6,929.4256827831268,929.4256827831268,True,159
1,30,6,1505.8608524799347,1505.8608524799347,True,174
1,30,5,860.6466326713562,860.6466326713562,True,174
1,30,4,819.5575602054596,819.5575602054596,True,156
1,30,6,1063.5353045463562,1063.5353045463562,True,175
1,30,2,577.4749219417572,577.4749219417572,True,178
1,30,4,831.6082665920258,831.6082665920258,True,172
1,30,10,1831.4486305713654,1831.4486305713654,False,166
1,30,3,831.7094666957855,831.7094666957855,True,171
1,30,2,539.9619681835175,539.9619681835175,True,162
1,30,3,643.8794808387756,643.8794808387756,True,183
1,30,7,1212.0781745910645,1212.0781745910645,True,181
1,30,4,781.3829634189606,781.3829634189606,True,158
1,30,7,1428.0077376365662,1428.0077376365662,True,175
1,30,6,1157.4566769599915,1157.4566769599915,True,167
1,30,4,793.5247910022736,793.5247910022736,True,164
1,30,3,730.2966566085815,730.2966566085815,True,182
1,30,5,1157.3426940441132,1157.3426940441132,True,196
1,30,4,772.0072538852692,772.0072538852692,True,156
1,30,10,1741.0629451274872,1741.0629451274872,True,187
1,30,3,713.1875422000885,713.1875422000885,True,172
1,30,2,513.4064702987671,513.4064702987671,True,157
1,30,6,1084.285850763321,1084.285850763321,True,155
1,30,6,969.1882493495941,969.1882493495941,True,168
1,30,5,813.1487064361572,813.1487064361572,True,160
1,30,3,592.0850112438202,592.0850112438202,True,165
1,30,9,1520.6651043891907,1520.6651043891907,True,165
1,30,8,1874.8566246032715,1874.8566246032715,False,157
1,30,7,1139.0175716876984,1139.0175716876984,True,176
1,30,3,713.0098297595978,713.0098297595978,True,178
1,30,3,607.4653096199036,607.4653096199036,True,169
1,30,4,688.2410953044891,688.2410953044891,True,188
1,30,5,875.5068550109863,875.5068550109863,True,164
1,30,3,659.7391993999481,659.7391993999481,True,155
1,30,3,684.6001019477844,684.6001019477844,True,195
1,30,13,1882.6418762207031,1882.6418762207031,False,147
1,30,8,1306.927161693573,1306.927161693573,True,169
1,30,2,516.6360867023468,516.6360867023468,True,135
1,30,2,542.8882896900177,542.8882896900177,True,158
1,30,3,673.1682524681091,673.1682524681091,True,174
1,30,12,1846.8204259872437,1846.8204259872437,False,162
1,30,4,833.7892758846283,833.7892758846283,True,154
1,30,3,711.9882578849792,711.9882578849792,True,199
1,30,2,562.4556243419647,562.4556243419647,True,180
1,30,2,542.1862018108368,542.1862018108368,True,155
1,30,11,1844.5228357315063,1844.5228357315063,False,163
1,30,7,1198.9457864761353,1198.9457864761353,True,154
1,30,12,1917.9119210243225,1917.9119210243225,False,164
1,30,8,1173.5255680084229,1173.5255680084229,True,162
1,30,3,645.8823277950287,645.8823277950287,True,165
1,30,3,651.134801864624,651.134801864624,True,159
1,30,6,1048.2036843299866,1048.2036843299866,True,171
1,30,10,1517.175564289093,1517.175564289093,True,154
1,30,8,1193.4943025112152,1193.4943025112152,True,158
1,30,1,426.8516001701355,426.8516001701355,True,149
1,30,6,1260.2038099765778,1260.2038099765778,True,159
1.5,30,5,909.4715278148651,909.4715278148651,True,162
1.5,30,6,1226.1625785827637,1226.1625785827637,True,156
1.5,30,5,974.4731225967407,974.4731225967407,True,164
1.5,30,5,929.4192469120026,929.4192469120026,True,169
1.5,30,8,1683.8826110363007,1683.8826110363007,True,202
1.5,30,11,1928.1043074131012,1928.1043074131012,False,176
1.5,30,10,1403.7546155452728,1403.7546155452728,True,162
1.5,30,5,926.1822235584259,926.1822235584259,True,161
1.5,30,12,1877.1139950752258,1877.1139950752258,False,179
1.5,30,5,912.186609506607,912.186609506607,True,166
1.5,30,5,1131.2089636325836,1131.2089636325836,True,151
1.5,30,4,744.0198106765747,744.0198106765747,True,154
1.5,30,2,532.1200580596924,532.1200580596924,True,174
1.5,30,3,648.5358600616455,648.5358600616455,True,162
1.5,30,3,625.3377344608307,625.3377344608307,True,165
1.5,30,5,904.3246970176697,904.3246970176697,True,189
1.5,30,2,549.111270904541,549.111270904541,True,164
1.5,30,6,1005.7816691398621,1005.7816691398621,True,170
1.5,30,6,1201.5182502269745,1201.5182502269745,True,179
1.5,30,6,933.0535118579865,933.0535118579865,True,179
1.5,30,3,783.3526375293732,783.3526375293732,True,157
1.5,30,6,1117.6836295127869,1117.6836295127869,True,172
1.5,30,2,534.8775088787079,534.8775088787079,True,183
