n,num_trains,k,time,time_first_solution,solution_found,num_movements
0.5,30,5,31.875133752822876,31.875133752822876,True,187
0.5,30,9,46.90391778945923,46.90391778945923,True,159
0.5,30,17,81.06179571151733,81.06179571151733,True,213
0.5,30,6,36.681477069854736,36.681477069854736,True,171
0.5,30,7,31.909223318099976,31.909223318099976,True,186
0.5,30,6,32.992522954940796,32.992522954940796,True,170
0.5,30,9,46.52405405044556,46.52405405044556,True,163
0.5,30,6,34.829352617263794,34.829352617263794,True,162
0.5,30,8,47.25365710258484,47.25365710258484,True,173
0.5,30,7,35.64155292510986,35.64155292510986,True,156
0.5,30,434,1800.0912280082703,1800.0912280082703,False,173
0.5,30,35,170.46492624282837,170.46492624282837,True,170
0.5,30,6,35.72109508514404,35.72109508514404,True,189
0.5,30,11,55.01786923408508,55.01786923408508,True,164
0.5,30,5,30.43612289428711,30.43612289428711,True,195
0.5,30,5,52.14131951332092,52.14131951332092,True,177
0.5,30,5,30.527631044387817,30.527631044387817,True,177
0.5,30,5,36.398669481277466,36.398669481277466,True,180
0.5,30,5,25.633723258972168,25.633723258972168,True,169
0.5,30,7,38.450398206710815,38.450398206710815,True,177
0.5,30,370,1800.9737610816956,1800.9737610816956,False,165
0.5,30,2,14.632850408554077,14.632850408554077,True,196
0.5,30,3,19.05327320098877,19.05327320098877,True,205
0.5,30,7,37.44762396812439,37.44762396812439,True,174
0.5,30,5,31.355680227279663,31.355680227279663,True,188
0.5,30,6,35.792280197143555,35.792280197143555,True,186
0.5,30,4,27.997374773025513,27.997374773025513,True,160
0.5,30,8,41.080737352371216,41.080737352371216,True,169
1,30,408,1803.4469861984253,1803.4469861984253,False,175
1,30,416,1803.934158563614,1803.934158563614,False,175
1,30,5,25.97611117362976,25.97611117362976,True,182
1,30,6,35.89321494102478,35.89321494102478,True,198
1,30,6,39.31463098526001,39.31463098526001,True,190
1,30,6,42.86271333694458,42.86271333694458,True,177
1,30,7,40.224858045578,40.224858045578,True,187
1,30,7,38.53429818153381,38.53429818153381,True,176
1,30,7,43.027268409729004,43.027268409729004,True,189
1,30,6,34.06284189224243,34.06284189224243,True,171
1,30,7,40.084221839904785,40.084221839904785,True,185
1,30,5,27.83066153526306,27.83066153526306,True,168
1,30,14,71.61800527572632,71.61800527572632,True,164
1,30,7,36.790621280670166,36.790621280670166,True,183
1,30,377,1803.8013286590576,1803.8013286590576,False,172
1,30,5,25.587282419204712,25.587282419204712,True,178
1,30,11,58.91792583465576,58.91792583465576,True,169
1,30,10,55.69067454338074,55.69067454338074,True,186
1,30,13,72.60789108276367,72.60789108276367,True,181
1,30,8,55.592833042144775,55.592833042144775,True,190
1,30,6,37.05315971374512,37.05315971374512,True,162
1,30,6,32.715110301971436,32.715110301971436,True,164
1,30,376,1800.8015539646149,1800.8015539646149,False,168
1,30,8,49.94007086753845,49.94007086753845,True,164
1,30,8,44.52207088470459,44.52207088470459,True,173
1,30,6,35.409607887268066,35.409607887268066,True,182
1,30,7,38.98049592971802,38.98049592971802,True,190
1,30,7,40.7322735786438,40.7322735786438,True,176
1,30,8,42.62626338005066,42.62626338005066,True,198
1,30,10,59.29623222351074,59.29623222351074,True,156
1,30,6,36.75392484664917,36.75392484664917,True,180
1,30,352,1803.7455415725708,1803.7455415725708,False,161
1,30,5,33.58253049850464,33.58253049850464,True,214
1,30,6,59.362040996551514,59.362040996551514,True,178
1,30,10,48.123807430267334,48.123807430267334,True,170
1,30,6,29.57058620452881,29.57058620452881,True,166
1,30,5,29.925451517105103,29.925451517105103,True,184
1,30,10,50.04339861869812,50.04339861869812,True,181
1,30,10,56.780808210372925,56.780808210372925,True,175
1,30,6,35.11188530921936,35.11188530921936,True,172
1,30,9,48.221150636672974,48.221150636672974,True,165
1,30,6,31.788883209228516,31.788883209228516,True,193
1,30,20,94.7865526676178,94.7865526676178,True,168
1,30,7,38.66596794128418,38.66596794128418,True,174
1,30,4,25.279906511306763,25.279906511306763,True,175
1,30,9,46.30653119087219,46.30653119087219,True,176
1,30,6,33.991424798965454,33.991424798965454,True,200
1,30,6,32.053749561309814,32.053749561309814,True,203
1,30,26,119.27223539352417,119.27223539352417,True,168
1,30,6,34.525766372680664,34.525766372680664,True,190
1,30,10,49.94027090072632,49.94027090072632,True,197
1,30,8,42.15173554420471,42.15173554420471,True,190
1,30,5,26.63612174987793,26.63612174987793,True,183
1,30,364,1802.8878338336945,1802.8878338336945,False,179
1,30,5,31.465315580368042,31.465315580368042,True,180
1,30,382,1801.5042884349823,1801.5042884349823,False,170
1,30,10,50.157357692718506,50.157357692718506,True,179
1,30,429,1803.9866108894348,1803.9866108894348,False,159
1,30,7,38.26171374320984,38.26171374320984,True,167
1,30,8,43.313451051712036,43.313451051712036,True,181
1,30,5,30.38046360015869,30.38046360015869,True,193
1,30,6,33.916958808898926,33.916958808898926,True,171
1,30,8,37.8951997756958,37.8951997756958,True,167
1,30,12,70.52906107902527,70.52906107902527,True,169
1,30,382,1802.797548532486,1802.797548532486,False,173
1,30,5,31.14005184173584,31.14005184173584,True,166
1,30,9,49.31157875061035,49.31157875061035,True,153
1,30,399,1801.8780241012573,1801.8780241012573,False,161
1,30,7,38.84608745574951,38.84608745574951,True,207
1,30,7,43.47891592979431,43.47891592979431,True,183
1,30,6,33.483158826828,33.483158826828,True,208
1,30,5,27.919456005096436,27.919456005096436,True,163
1,30,5,31.332960605621338,31.332960605621338,True,185
1,30,6,33.68791627883911,33.68791627883911,True,201
1,30,5,28.398375034332275,28.398375034332275,True,216
1,30,8,46.31052041053772,46.31052041053772,True,182
1,30,472,1800.5720760822296,1800.5720760822296,False,161
1,30,6,33.09289026260376,33.09289026260376,True,179
1,30,416,1801.762559890747,1801.762559890747,False,156
1,30,6,34.7932493686676,34.7932493686676,True,171
1,30,8,47.6843626499176,47.6843626499176,True,175
1,30,6,31.66458034515381,31.66458034515381,True,196
1,30,10,49.62013626098633,49.62013626098633,True,183
1,30,6,34.496007680892944,34.496007680892944,True,147
1,30,8,45.17769408226013,45.17769408226013,True,183
1,30,5,28.469883680343628,28.469883680343628,True,165
1,30,375,1803.2328975200653,1803.2328975200653,False,166
1,30,8,77.88258647918701,77.88258647918701,True,159
1,30,371,1803.4756593704224,1803.4756593704224,False,154
1,30,7,47.633928060531616,47.633928060531616,True,188
1,30,7,33.91781735420227,33.91781735420227,True,173
1,30,7,38.757489919662476,38.757489919662476,True,184
1,30,7,50.013954877853394,50.013954877853394,True,180
1,30,7,35.687076807022095,35.687076807022095,True,184
1,30,425,1801.0165057182312,1801.0165057182312,False,177
1,30,6,32.510700702667236,32.510700702667236,True,187
1,30,7,41.24895167350769,41.24895167350769,True,182
1,30,8,45.307300329208374,45.307300329208374,True,180
1,30,8,45.642375469207764,45.642375469207764,True,159
1,30,10,50.87649154663086,50.87649154663086,True,151
1.5,30,8,40.11572623252869,40.11572623252869,True,189
1.5,30,7,35.96000647544861,35.96000647544861,True,174
1.5,30,18,79.97469997406006,79.97469997406006,True,176
1.5,30,7,40.41694784164429,40.41694784164429,True,181
1.5,30,8,50.125629901885986,50.125629901885986,True,187
1.5,30,305,1805.7214498519897,1805.7214498519897,False,170
1.5,30,380,1801.2420444488525,1801.2420444488525,False,165
1.5,30,8,43.02000093460083,43.02000093460083,True,180
1.5,30,12,67.80230069160461,67.80230069160461,True,164
1.5,30,10,52.95887541770935,52.95887541770935,True,177
1.5,30,6,36.14725875854492,36.14725875854492,True,200
1.5,30,10,49.998393058776855,49.998393058776855,True,157
1.5,30,8,43.73739051818848,43.73739051818848,True,181
1.5,30,6,32.53879165649414,32.53879165649414,True,191
1.5,30,6,32.93937683105469,32.93937683105469,True,172
1.5,30,8,37.69770622253418,37.69770622253418,True,167
1.5,30,19,97.02823853492737,97.02823853492737,True,164
1.5,30,9,51.45990538597107,51.45990538597107,True,163
1.5,30,347,1803.5647773742676,1803.5647773742676,False,158
1.5,30,9,63.723663091659546,63.723663091659546,True,183
1.5,30,6,37.288207054138184,37.288207054138184,True,166
1.5,30,9,46.3190393447876,46.3190393447876,True,160
1.5,30,7,40.054256439208984,40.054256439208984,True,162
1.5,30,12,70.5113754272461,70.5113754272461,True,174
1.5,30,6,34.913620948791504,34.913620948791504,True,194
1.5,30,7,40.56539011001587,40.56539011001587,True,183
1.5,30,9,48.75801944732666,48.75801944732666,True,180
1.5,30,12,64.97939920425415,64.97939920425415,True,172
1.5,30,13,66.05514144897461,66.05514144897461,True,175
1.5,30,8,48.292630195617676,48.292630195617676,True,174
1.5,30,6,37.42860412597656,37.42860412597656,True,176
1.5,30,8,49.39628839492798,49.39628839492798,True,161
1.5,30,7,44.939308166503906,44.939308166503906,True,206
1.5,30,213,1807.051663160324,1807.051663160324,False,160
1.5,30,7,35.1676983833313,35.1676983833313,True,174
1.5,30,448,1803.6895167827606,1803.6895167827606,False,159
1.5,30,6,36.13360595703125,36.13360595703125,True,172
1.5,30,8,41.18227815628052,41.18227815628052,True,151
1.5,30,8,46.760908126831055,46.760908126831055,True,171
1.5,30,9,50.47585654258728,50.47585654258728,True,170
1.5,30,9,48.98625040054321,48.98625040054321,True,168
1.5,30,427,1804.1591250896454,1804.1591250896454,False,162
1.5,30,16,78.03761625289917,78.03761625289917,True,179
1.5,30,9,48.43679881095886,48.43679881095886,True,160
1.5,30,6,34.63524794578552,34.63524794578552,True,179
1.5,30,10,50.90278339385986,50.90278339385986,True,178
1.5,30,400,1801.0356361865997,1801.0356361865997,False,162
1.5,30,10,49.98361825942993,49.98361825942993,True,180
1.5,30,7,36.45427131652832,36.45427131652832,True,175
1.5,30,6,34.266777753829956,34.266777753829956,True,200
1.5,30,11,54.34026384353638,54.34026384353638,True,195
1.5,30,18,88.2873125076294,88.2873125076294,True,196
1.5,30,8,39.43522644042969,39.43522644042969,True,158
1.5,30,364,1803.3898434638977,1803.3898434638977,False,156
1.5,30,7,41.97016215324402,41.97016215324402,True,187
1.5,30,10,53.98418927192688,53.98418927192688,True,175
1.5,30,13,63.723984241485596,63.723984241485596,True,183
1.5,30,9,45.01008486747742,45.01008486747742,True,159
1.5,30,8,43.695175647735596,43.695175647735596,True,155
1.5,30,10,52.97009539604187,52.97009539604187,True,180
1.5,30,6,34.968714237213135,34.968714237213135,True,197
1.5,30,7,38.129011392593384,38.129011392593384,True,196
1.5,30,18,77.89897346496582,77.89897346496582,True,178
1.5,30,23,130.10161018371582,130.10161018371582,True,172
1.5,30,8,42.37520146369934,42.37520146369934,True,197
1.5,30,6,34.18057703971863,34.18057703971863,True,166
1.5,30,9,49.60667324066162,49.60667324066162,True,166
1.5,30,11,58.11612820625305,58.11612820625305,True,172
1.5,30,8,43.43749475479126,43.43749475479126,True,202
1.5,30,7,44.12854480743408,44.12854480743408,True,186
1.5,30,8,41.132702350616455,41.132702350616455,True,194
1.5,30,14,69.73619771003723,69.73619771003723,True,159
1.5,30,8,46.56740117073059,46.56740117073059,True,188
1.5,30,399,1801.111264705658,1801.111264705658,False,198
1.5,30,9,46.280017375946045,46.280017375946045,True,202
1.5,30,7,39.98661947250366,39.98661947250366,True,183
1.5,30,13,55.759528160095215,55.759528160095215,True,153
1.5,30,13,64.76694107055664,64.76694107055664,True,175
1.5,30,8,41.71709179878235,41.71709179878235,True,160
1.5,30,358,1803.1091203689575,1803.1091203689575,False,181
1.5,30,7,43.0050745010376,43.0050745010376,True,172
1.5,30,8,40.02418112754822,40.02418112754822,True,172
1.5,30,10,50.67748665809631,50.67748665809631,True,176
1.5,30,7,39.21043014526367,39.21043014526367,True,150
1.5,30,9,50.133617877960205,50.133617877960205,True,178
1.5,30,8,39.51003098487854,39.51003098487854,True,174
1.5,30,8,40.8472945690155,40.8472945690155,True,180
