filename,found,total_computation_time
scenario_solver_26_trains_9_units25,True,00:00:20.2004327
scenario_solver_26_trains_9_units26,True,00:00:16.3987739
scenario_solver_26_trains_9_units27,True,00:00:15.1401079
scenario_solver_27_trains_27_units14,True,00:00:39.1130286
scenario_solver_27_trains_27_units15,True,00:00:59.3278731
scenario_solver_27_trains_27_units16,True,00:00:14.8255465
scenario_solver_27_trains_27_units17,True,00:00:17.9058207
scenario_solver_27_trains_27_units18,True,00:00:49.9314352
scenario_solver_27_trains_5_units1,True,00:00:15.7360388
scenario_solver_27_trains_5_units10,True,00:00:19.7440440
scenario_solver_27_trains_5_units11,True,00:00:18.7720016
scenario_solver_27_trains_5_units12,True,00:00:18.5039411
scenario_solver_27_trains_5_units13,True,00:00:17.6193198
scenario_solver_28_trains_5_units23,True,00:01:11.3106923
scenario_solver_28_trains_5_units24,True,00:00:19.5614207
scenario_solver_28_trains_5_units25,True,00:00:16.5961628
scenario_solver_28_trains_5_units26,True,00:00:19.7669478
scenario_solver_28_trains_5_units27,True,00:00:46.2470897
scenario_solver_27_trains_1_units19,True,00:00:20.0835214
scenario_solver_27_trains_1_units2,True,00:00:18.1206648
scenario_solver_27_trains_1_units20,True,00:00:35.3572513
scenario_solver_27_trains_1_units21,True,00:00:30.3772135
scenario_solver_27_trains_1_units22,True,00:00:19.3989653
scenario_solver_25_trains_25_units28,True,00:00:14.9260223
scenario_solver_25_trains_25_units29,True,00:00:16.3937510
scenario_solver_25_trains_25_units3,True,00:00:13.6319976
scenario_solver_25_trains_25_units30,True,00:00:15.6650497
scenario_solver_25_trains_25_units4,True,00:00:22.8547478
scenario_solver_15_trains_1_units23,True,00:00:12.8299868
scenario_solver_15_trains_1_units24,True,00:00:12.2937104
scenario_solver_15_trains_1_units25,True,00:00:12.3795837
scenario_solver_15_trains_1_units26,True,00:00:11.7724289
scenario_solver_15_trains_1_units27,True,00:00:10.8835775
scenario_solver_5_trains_2_units14,True,00:00:03.9538058
scenario_solver_5_trains_2_units15,True,00:00:04.1044682
scenario_solver_5_trains_2_units16,True,00:00:03.9909728
scenario_solver_5_trains_2_units17,True,00:00:04.0875332
scenario_solver_5_trains_2_units18,True,00:00:04.0842779
